id,context,question,answers
1, Madde 1:  Bu yönergenin amacı  “Gebze Teknik Üniversitesi Mimarlık Fakültesi Mimarlık Bölümü”  ders programında yer alan Mimari Tasarım VIII dersi ile ilgili ilkeleri belirlemektir.     Kapsam:   ,Bu yönergenin amacı nedir?,"[{""text"": ""Bu yönergenin amacı  “Gebze Teknik Üniversitesi Mimarlık Fakültesi Mimarlık Bölümü” ders programında yer alan Mimari Tasarım VIII dersi ile ilgili ilkeleri belirlemektir.""  ""answer_start"": -1}]"
1, Madde 1:  Bu yönergenin amacı  “Gebze Teknik Üniversitesi Mimarlık Fakültesi Mimarlık Bölümü”  ders programında yer alan Mimari Tasarım VIII dersi ile ilgili ilkeleri belirlemektir.     Kapsam:   ,Bu yönerge hangi ders ile ilgilidir?,"[{""text"": ""Bu yönerge Mimari Tasarım VIII dersi ile ilgilidir.""  ""answer_start"": -1}]"
1, Madde 1:  Bu yönergenin amacı  “Gebze Teknik Üniversitesi Mimarlık Fakültesi Mimarlık Bölümü”  ders programında yer alan Mimari Tasarım VIII dersi ile ilgili ilkeleri belirlemektir.     Kapsam:   ,Bu yönerge hangi bölümü kapsamaktadır?,"[{""text"": ""Bu yönerge  Gebze Teknik Üniversitesi Mimarlık Fakültesi Mimarlık Bölümü'nü kapsamaktadır.""  ""answer_start"": -1}]"
2, Madde 2:  Bu yönerge “Gebze Teknik Üniversitesi Mimarlık Fakültesi Mimarlık Bölümü” ders  programında yer alan (MIM495) Mimari Tasarım VIII dersi ile ilgili esasları kapsar.     Tanım:   ,Bu yönerge hangi ders ile ilgili esasları kapsar?,"[{""text"": ""Bu yönerge (MIM495) Mimari Tasarım VIII dersi ile ilgili esasları kapsar.""  ""answer_start"": -1}]"
2, Madde 2:  Bu yönerge “Gebze Teknik Üniversitesi Mimarlık Fakültesi Mimarlık Bölümü” ders  programında yer alan (MIM495) Mimari Tasarım VIII dersi ile ilgili esasları kapsar.     Tanım:   ,Bu yönerge hangi bölümün ders programını kapsamaktadır?,"[{""text"": ""Bu yönerge “Gebze Teknik Üniversitesi Mimarlık Fakültesi Mimarlık Bölümü” ders programını kapsamaktadır.""  ""answer_start"": -1}]"
2, Madde 2:  Bu yönerge “Gebze Teknik Üniversitesi Mimarlık Fakültesi Mimarlık Bölümü” ders  programında yer alan (MIM495) Mimari Tasarım VIII dersi ile ilgili esasları kapsar.     Tanım:   ,Yönerge hangi üniversiteye aittir?,"[{""text"": ""Yönerge  Gebze Teknik Üniversitesi'ne aittir.""  ""answer_start"": -1}]"
3, Madde 3:  Mimari Tasarım VIII dersi öğrencinin kayıtlı olduğu Mimarlık Bölüm ü’nün Anabilim  dallarında ve Öğretim P lanlarında yer alan derslerde edinilen  bilgilerin sistematik bir şekilde  kullanılmasını sağlayan  bilimsel bir yöntemle  çeşitli kaynaklardan yararlanılarak yapılan  öğrencinin  tasarım yeteneğini ölçen ve bu yeteneği belgeleyen  öğrencinin düzenli tashih almadan tek başına  hazırladığı  belirli aralıklarla düzenlenen jüriler tarafından denetlenen bir proje -tasarım çalışmasıdır.     Mimari Tasarım VIII dersinin Alınabilme Koşulları:   ,Mimari Tasarım VIII dersi  öğrencinin hangi özelliklerini ölçer ve belgeler?,"[{""text"": ""Mimari Tasarım VIII dersi  öğrencinin tasarım yeteneğini ölçer ve bu yeteneği belgeler.""  ""answer_start"": -1}]"
3, Madde 3:  Mimari Tasarım VIII dersi öğrencinin kayıtlı olduğu Mimarlık Bölüm ü’nün Anabilim  dallarında ve Öğretim P lanlarında yer alan derslerde edinilen  bilgilerin sistematik bir şekilde  kullanılmasını sağlayan  bilimsel bir yöntemle  çeşitli kaynaklardan yararlanılarak yapılan  öğrencinin  tasarım yeteneğini ölçen ve bu yeteneği belgeleyen  öğrencinin düzenli tashih almadan tek başına  hazırladığı  belirli aralıklarla düzenlenen jüriler tarafından denetlenen bir proje -tasarım çalışmasıdır.     Mimari Tasarım VIII dersinin Alınabilme Koşulları:   ,Mimari Tasarım VIII dersi nasıl bir çalışma sürecini içerir?,"[{""text"": ""Mimari Tasarım VIII dersi  bilimsel bir yöntemle çeşitli kaynaklardan yararlanılarak yapılan  öğrencinin düzenli tashih almadan tek başına hazırladığı bir proje-tasarım çalışmasıdır.""  ""answer_start"": -1}]"
3, Madde 3:  Mimari Tasarım VIII dersi öğrencinin kayıtlı olduğu Mimarlık Bölüm ü’nün Anabilim  dallarında ve Öğretim P lanlarında yer alan derslerde edinilen  bilgilerin sistematik bir şekilde  kullanılmasını sağlayan  bilimsel bir yöntemle  çeşitli kaynaklardan yararlanılarak yapılan  öğrencinin  tasarım yeteneğini ölçen ve bu yeteneği belgeleyen  öğrencinin düzenli tashih almadan tek başına  hazırladığı  belirli aralıklarla düzenlenen jüriler tarafından denetlenen bir proje -tasarım çalışmasıdır.     Mimari Tasarım VIII dersinin Alınabilme Koşulları:   ,Mimari Tasarım VIII dersinin denetimi nasıl yapılır?,"[{""text"": ""Mimari Tasarım VIII dersi  belirli aralıklarla düzenlenen jüriler tarafından denetlenir.""  ""answer_start"": -1}]"
3, Madde 3:  Mimari Tasarım VIII dersi öğrencinin kayıtlı olduğu Mimarlık Bölüm ü’nün Anabilim  dallarında ve Öğretim P lanlarında yer alan derslerde edinilen  bilgilerin sistematik bir şekilde  kullanılmasını sağlayan  bilimsel bir yöntemle  çeşitli kaynaklardan yararlanılarak yapılan  öğrencinin  tasarım yeteneğini ölçen ve bu yeteneği belgeleyen  öğrencinin düzenli tashih almadan tek başına  hazırladığı  belirli aralıklarla düzenlenen jüriler tarafından denetlenen bir proje -tasarım çalışmasıdır.     Mimari Tasarım VIII dersinin Alınabilme Koşulları:   ,Mimari Tasarım VIII dersi  hangi derslerde edinilen bilgilerin kullanılmasını sağlar?,"[{""text"": ""Mimari Tasarım VIII dersi  öğrencinin kayıtlı olduğu Mimarlık Bölümü’nün Anabilim dallarında ve Öğretim Planlarında yer alan derslerde edinilen bilgilerin sistematik bir şekilde kullanılmasını sağlar.""  ""answer_start"": -1}]"
